matchday_nr,home_team_name,away_team_name,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif,season
21,1. FC Union Berlin,FC Schalke 04,0.0,3.0,1.0,-1.0,2023
21,Borussia Mönchengladbach,FC Bayern München,27.0,30.0,51.0,-71.0,2023
21,Eintracht Frankfurt,Werder Bremen,36.0,23.0,43.0,-10.0,2023
21,VfL Wolfsburg,RB Leipzig,3.0,5.0,4.0,-5.0,2023
21,VfL Bochum,SC Freiburg,9.0,4.0,7.0,1.0,2023
21,FC Augsburg,TSG 1899 Hoffenheim,5.0,5.0,14.0,-22.0,2023
21,VfB Stuttgart,1. FC Köln,31.0,25.0,36.0,4.0,2023
22,FC Bayern München,1. FC Union Berlin,4.0,2.0,0.0,10.0,2023
22,RB Leipzig,Eintracht Frankfurt,3.0,7.0,2.0,2.0,2023
22,SC Freiburg,Bayer Leverkusen,11.0,13.0,20.0,-26.0,2023
22,1. FC Köln,VfL Wolfsburg,7.0,10.0,15.0,-23.0,2023
22,1. FSV Mainz 05,Borussia Mönchengladbach,10.0,12.0,16.0,-15.0,2023
22,TSG 1899 Hoffenheim,Borussia Dortmund,7.0,10.0,11.0,-1.0,2023
22,Hertha BSC,FC Augsburg,9.0,10.0,3.0,5.0,2023
22,FC Schalke 04,VfB Stuttgart,38.0,17.0,43.0,-30.0,2023
22,Werder Bremen,VfL Bochum,41.0,15.0,10.0,67.0,2023
23,Borussia Dortmund,RB Leipzig,6.0,2.0,4.0,4.0,2023
23,Bayer Leverkusen,Hertha BSC,25.0,13.0,14.0,29.0,2023
23,1. FC Union Berlin,1. FC Köln,7.0,2.0,5.0,-8.0,2023
23,1. FSV Mainz 05,TSG 1899 Hoffenheim,12.0,8.0,8.0,7.0,2023
23,Borussia Mönchengladbach,SC Freiburg,13.0,14.0,15.0,-10.0,2023
23,VfL Wolfsburg,Eintracht Frankfurt,21.0,13.0,8.0,17.0,2023
23,VfL Bochum,FC Schalke 04,15.0,11.0,32.0,-20.0,2023
23,FC Augsburg,Werder Bremen,10.0,2.0,8.0,3.0,2023
23,VfB Stuttgart,FC Bayern München,18.0,21.0,67.0,-105.0,2023
24,FC Bayern München,FC Augsburg,17.0,2.0,3.0,36.0,2023
