season,location,matchday_nr,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,draw,win_home,win_away,outcome
2009,Frankfurt,7,91,Eintracht Frankfurt,16,VfB Stuttgart,0,3,0.0,0.0,1.0,win_away
2009,Hamburg,7,100,Hamburger SV,40,FC Bayern München,1,0,0.0,1.0,0.0,win_home
2009,Freiburg,7,112,SC Freiburg,87,Borussia Mönchengladbach,3,0,0.0,1.0,0.0,win_home
2009,Sinsheim,7,175,TSG 1899 Hoffenheim,54,Hertha BSC,5,1,0.0,1.0,0.0,win_home
2009,Gelsenkirchen,8,9,FC Schalke 04,91,Eintracht Frankfurt,2,0,0.0,1.0,0.0,win_home
2009,München,8,40,FC Bayern München,65,1. FC Köln,0,0,1.0,0.0,0.0,draw
2009,Leverkusen,8,6,Bayer Leverkusen,79,1. FC Nürnberg,4,0,0.0,1.0,0.0,win_home
2009,Hannover,8,55,Hannover 96,112,SC Freiburg,5,2,0.0,1.0,0.0,win_home
2009,Bochum,8,129,VfL Bochum,131,VfL Wolfsburg,1,1,1.0,0.0,0.0,draw
2009,Mainz,8,81,1. FSV Mainz 05,175,TSG 1899 Hoffenheim,2,1,0.0,1.0,0.0,win_home
2009,Gladbach,8,87,Borussia Mönchengladbach,7,Borussia Dortmund,0,1,0.0,0.0,1.0,win_away
2009,Stuttgart,8,16,VfB Stuttgart,134,Werder Bremen,0,2,0.0,0.0,1.0,win_away
2009,Berlin,8,54,Hertha BSC,100,Hamburger SV,1,3,0.0,0.0,1.0,win_away
2009,Stuttgart,9,16,VfB Stuttgart,9,FC Schalke 04,1,2,0.0,0.0,1.0,win_away
2009,Bremen,9,134,Werder Bremen,175,TSG 1899 Hoffenheim,2,0,0.0,1.0,0.0,win_home
2009,Köln,9,65,1. FC Köln,81,1. FSV Mainz 05,1,0,0.0,1.0,0.0,win_home
2009,Frankfurt,9,91,Eintracht Frankfurt,55,Hannover 96,2,1,0.0,1.0,0.0,win_home
2009,Freiburg,9,112,SC Freiburg,40,FC Bayern München,1,2,0.0,0.0,1.0,win_away
2009,Nürnberg,9,79,1. FC Nürnberg,54,Hertha BSC,3,0,0.0,1.0,0.0,win_home
2009,Hamburg,9,100,Hamburger SV,6,Bayer Leverkusen,0,0,1.0,0.0,0.0,draw
2009,Wolfsburg,9,131,VfL Wolfsburg,87,Borussia Mönchengladbach,2,1,0.0,1.0,0.0,win_home
2009,Dortmund,9,7,Borussia Dortmund,129,VfL Bochum,2,0,0.0,1.0,0.0,win_home
2009,Leverkusen,10,6,Bayer Leverkusen,7,Borussia Dortmund,1,1,1.0,0.0,0.0,draw
2009,München,10,40,FC Bayern München,91,Eintracht Frankfurt,2,1,0.0,1.0,0.0,win_home
2009,Sinsheim,10,175,TSG 1899 Hoffenheim,79,1. FC Nürnberg,3,0,0.0,1.0,0.0,win_home
2009,Hannover,10,55,Hannover 96,16,VfB Stuttgart,1,0,0.0,1.0,0.0,win_home
2009,Gladbach,10,87,Borussia Mönchengladbach,65,1. FC Köln,0,0,1.0,0.0,0.0,draw
2009,Mainz,10,81,1. FSV Mainz 05,112,SC Freiburg,3,0,0.0,1.0,0.0,win_home
2009,Berlin,10,54,Hertha BSC,131,VfL Wolfsburg,0,0,1.0,0.0,0.0,draw
2009,Gelsenkirchen,10,9,FC Schalke 04,100,Hamburger SV,3,3,1.0,0.0,0.0,draw
2009,Bochum,10,129,VfL Bochum,134,Werder Bremen,1,4,0.0,0.0,1.0,win_away
2009,Dortmund,11,7,Borussia Dortmund,54,Hertha BSC,2,0,0.0,1.0,0.0,win_home
2009,Wolfsburg,11,131,VfL Wolfsburg,81,1. FSV Mainz 05,3,3,1.0,0.0,0.0,draw
2009,Stuttgart,11,16,VfB Stuttgart,40,FC Bayern München,0,0,1.0,0.0,0.0,draw
2009,Hamburg,11,100,Hamburger SV,87,Borussia Mönchengladbach,2,3,0.0,0.0,1.0,win_away
2009,Köln,11,65,1. FC Köln,55,Hannover 96,0,1,0.0,0.0,1.0,win_away
2009,Nürnberg,11,79,1. FC Nürnberg,134,Werder Bremen,2,2,1.0,0.0,0.0,draw
2009,Gelsenkirchen,11,9,FC Schalke 04,6,Bayer Leverkusen,2,2,1.0,0.0,0.0,draw
2009,Freiburg,11,112,SC Freiburg,175,TSG 1899 Hoffenheim,0,1,0.0,0.0,1.0,win_away
2009,Frankfurt,11,91,Eintracht Frankfurt,129,VfL Bochum,2,1,0.0,1.0,0.0,win_home
2009,Leverkusen,12,6,Bayer Leverkusen,91,Eintracht Frankfurt,4,0,0.0,1.0,0.0,win_home
2009,München,12,40,FC Bayern München,9,FC Schalke 04,1,1,1.0,0.0,0.0,draw
2009,Sinsheim,12,175,TSG 1899 Hoffenheim,131,VfL Wolfsburg,1,2,0.0,0.0,1.0,win_away
2009,Bochum,12,129,VfL Bochum,112,SC Freiburg,1,2,0.0,0.0,1.0,win_away
2009,Gladbach,12,87,Borussia Mönchengladbach,16,VfB Stuttgart,0,0,1.0,0.0,0.0,draw
