season_x,location,matchday_nr_x,home_team_id,home_team_name_x,away_team_id,away_team_name_x,goals_home,goals_away,outcome,total_goals,identifier,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif
2008,Dortmund,9,7,Borussia Dortmund,54,Hertha BSC,1,1,draw,2,2008_Borussia Dortmund_Hertha BSC,20.0,12.0,14.0,14.0
2008,Dortmund,9,7,Borussia Dortmund,54,Hertha BSC,1,1,draw,2,2008_Borussia Dortmund_Hertha BSC,20.0,11.0,13.0,15.0
2008,Bremen,10,134,Werder Bremen,6,Bayer Leverkusen,0,2,win_away,2,2008_Werder Bremen_Bayer Leverkusen,22.0,21.0,13.0,5.0
2008,Wolfsburg,10,131,VfL Wolfsburg,87,Borussia Mönchengladbach,3,0,win_home,3,2008_VfL Wolfsburg_Borussia Mönchengladbach,9.0,1.0,6.0,7.0
2008,Karlsruhe,10,105,Karlsruher SC,9,FC Schalke 04,0,3,win_away,3,2008_Karlsruher SC_FC Schalke 04,10.0,17.0,13.0,-11.0
2008,Karlsruhe,10,105,Karlsruher SC,9,FC Schalke 04,0,3,win_away,3,2008_Karlsruher SC_FC Schalke 04,9.0,16.0,13.0,-13.0
2008,Bielefeld,10,83,Arminia Bielefeld,93,FC Energie Cottbus,1,1,draw,2,2008_Arminia Bielefeld_FC Energie Cottbus,4.0,2.0,4.0,2.0
2008,Hamburg,10,100,Hamburger SV,16,VfB Stuttgart,2,0,win_home,2,2008_Hamburger SV_VfB Stuttgart,36.0,20.0,30.0,-5.0
2008,Frankfurt,10,91,Eintracht Frankfurt,40,FC Bayern München,1,2,win_away,3,2008_Eintracht Frankfurt_FC Bayern München,20.0,19.0,37.0,-38.0
2008,Frankfurt,10,91,Eintracht Frankfurt,40,FC Bayern München,1,2,win_away,3,2008_Eintracht Frankfurt_FC Bayern München,20.0,18.0,36.0,-36.0
2008,Berlin,10,54,Hertha BSC,55,Hannover 96,3,0,win_home,3,2008_Hertha BSC_Hannover 96,22.0,17.0,11.0,20.0
2008,Köln,10,65,1. FC Köln,7,Borussia Dortmund,0,1,win_away,1,2008_1. FC Köln_Borussia Dortmund,25.0,19.0,26.0,4.0
2008,Leverkusen,11,6,Bayer Leverkusen,131,VfL Wolfsburg,2,0,win_home,2,2008_Bayer Leverkusen_VfL Wolfsburg,11.0,4.0,9.0,7.0
2008,Leverkusen,11,6,Bayer Leverkusen,131,VfL Wolfsburg,2,0,win_home,2,2008_Bayer Leverkusen_VfL Wolfsburg,10.0,3.0,9.0,6.0
2008,München,11,40,FC Bayern München,83,Arminia Bielefeld,3,1,win_home,4,2008_FC Bayern München_Arminia Bielefeld,23.0,4.0,5.0,33.0
2008,München,11,40,FC Bayern München,83,Arminia Bielefeld,3,1,win_home,4,2008_FC Bayern München_Arminia Bielefeld,21.0,4.0,5.0,30.0
2008,Bremen,11,134,Werder Bremen,54,Hertha BSC,5,1,win_home,6,2008_Werder Bremen_Hertha BSC,28.0,12.0,16.0,31.0
2008,Stuttgart,11,16,VfB Stuttgart,65,1. FC Köln,1,3,win_away,4,2008_VfB Stuttgart_1. FC Köln,23.0,21.0,30.0,-1.0
2008,Hannover,11,55,Hannover 96,100,Hamburger SV,3,0,win_home,3,2008_Hannover 96_Hamburger SV,12.0,11.0,17.0,-11.0
2008,Cottbus,11,93,FC Energie Cottbus,9,FC Schalke 04,0,2,win_away,2,2008_FC Energie Cottbus_FC Schalke 04,3.0,0.0,7.0,-12.0
2008,Dortmund,11,7,Borussia Dortmund,129,VfL Bochum,1,1,draw,2,2008_Borussia Dortmund_VfL Bochum,21.0,19.0,16.0,8.0
2008,Gladbach,11,87,Borussia Mönchengladbach,91,Eintracht Frankfurt,1,2,win_away,3,2008_Borussia Mönchengladbach_Eintracht Frankfurt,21.0,22.0,27.0,-11.0
2008,Köln,12,65,1. FC Köln,55,Hannover 96,2,1,win_home,3,2008_1. FC Köln_Hannover 96,15.0,6.0,15.0,0.0
2008,Hamburg,12,100,Hamburger SV,7,Borussia Dortmund,2,1,win_home,3,2008_Hamburger SV_Borussia Dortmund,29.0,26.0,27.0,10.0
2008,Hamburg,12,100,Hamburger SV,7,Borussia Dortmund,2,1,win_home,3,2008_Hamburger SV_Borussia Dortmund,27.0,26.0,27.0,6.0
2008,Karlsruhe,12,105,Karlsruher SC,6,Bayer Leverkusen,3,3,draw,6,2008_Karlsruher SC_Bayer Leverkusen,4.0,12.0,16.0,-30.0
2008,Karlsruhe,12,105,Karlsruher SC,6,Bayer Leverkusen,3,3,draw,6,2008_Karlsruher SC_Bayer Leverkusen,4.0,11.0,15.0,-27.0
2008,Bochum,12,129,VfL Bochum,134,Werder Bremen,0,0,draw,0,2008_VfL Bochum_Werder Bremen,10.0,14.0,38.0,-62.0
2008,Bielefeld,12,83,Arminia Bielefeld,87,Borussia Mönchengladbach,0,2,win_away,2,2008_Arminia Bielefeld_Borussia Mönchengladbach,6.0,5.0,19.0,-24.0
2008,Wolfsburg,12,131,VfL Wolfsburg,93,FC Energie Cottbus,3,0,win_home,3,2008_VfL Wolfsburg_FC Energie Cottbus,5.0,4.0,1.0,6.0
2008,Wolfsburg,12,131,VfL Wolfsburg,93,FC Energie Cottbus,3,0,win_home,3,2008_VfL Wolfsburg_FC Energie Cottbus,3.0,4.0,1.0,2.0
2008,Gelsenkirchen,12,9,FC Schalke 04,40,FC Bayern München,1,2,win_away,3,2008_FC Schalke 04_FC Bayern München,16.0,24.0,36.0,-67.0
2008,Gelsenkirchen,12,9,FC Schalke 04,40,FC Bayern München,1,2,win_away,3,2008_FC Schalke 04_FC Bayern München,16.0,23.0,35.0,-66.0
2008,Frankfurt,12,91,Eintracht Frankfurt,16,VfB Stuttgart,2,2,draw,4,2008_Eintracht Frankfurt_VfB Stuttgart,27.0,17.0,32.0,-9.0
2008,Hannover,13,55,Hannover 96,129,VfL Bochum,1,1,draw,2,2008_Hannover 96_VfL Bochum,10.0,8.0,14.0,-1.0
2008,Stuttgart,13,16,VfB Stuttgart,83,Arminia Bielefeld,0,0,draw,0,2008_VfB Stuttgart_Arminia Bielefeld,15.0,8.0,9.0,16.0
2008,Stuttgart,13,16,VfB Stuttgart,83,Arminia Bielefeld,0,0,draw,0,2008_VfB Stuttgart_Arminia Bielefeld,15.0,7.0,8.0,18.0
2008,Leverkusen,13,6,Bayer Leverkusen,9,FC Schalke 04,2,1,win_home,3,2008_Bayer Leverkusen_FC Schalke 04,21.0,16.0,11.0,18.0
2008,Leverkusen,13,6,Bayer Leverkusen,9,FC Schalke 04,2,1,win_home,3,2008_Bayer Leverkusen_FC Schalke 04,20.0,15.0,11.0,17.0
2008,Berlin,13,54,Hertha BSC,100,Hamburger SV,2,1,win_home,3,2008_Hertha BSC_Hamburger SV,21.0,11.0,22.0,-10.0
2008,Berlin,13,54,Hertha BSC,100,Hamburger SV,2,1,win_home,3,2008_Hertha BSC_Hamburger SV,21.0,10.0,21.0,-9.0
2008,Dortmund,13,7,Borussia Dortmund,91,Eintracht Frankfurt,4,0,win_home,4,2008_Borussia Dortmund_Eintracht Frankfurt,33.0,14.0,25.0,29.0
2008,Cottbus,13,93,FC Energie Cottbus,105,Karlsruher SC,1,0,win_home,1,2008_FC Energie Cottbus_Karlsruher SC,5.0,2.0,5.0,5.0
2008,Gladbach,13,87,Borussia Mönchengladbach,40,FC Bayern München,2,2,draw,4,2008_Borussia Mönchengladbach_FC Bayern München,18.0,23.0,39.0,-59.0
2008,Bremen,13,134,Werder Bremen,65,1. FC Köln,3,1,win_home,4,2008_Werder Bremen_1. FC Köln,29.0,17.0,30.0,-9.0
2008,Karlsruhe,14,105,Karlsruher SC,7,Borussia Dortmund,0,1,win_away,1,2008_Karlsruher SC_Borussia Dortmund,11.0,13.0,20.0,-19.0
2008,München,14,40,FC Bayern München,93,FC Energie Cottbus,4,1,win_home,5,2008_FC Bayern München_FC Energie Cottbus,8.0,0.0,2.0,21.0
2008,Gelsenkirchen,14,9,FC Schalke 04,87,Borussia Mönchengladbach,3,1,win_home,4,2008_FC Schalke 04_Borussia Mönchengladbach,20.0,23.0,27.0,-37.0
2008,Wolfsburg,14,131,VfL Wolfsburg,16,VfB Stuttgart,4,1,win_home,5,2008_VfL Wolfsburg_VfB Stuttgart,6.0,4.0,12.0,-6.0
2008,Wolfsburg,14,131,VfL Wolfsburg,16,VfB Stuttgart,4,1,win_home,5,2008_VfL Wolfsburg_VfB Stuttgart,5.0,4.0,11.0,-8.0
2008,Frankfurt,14,91,Eintracht Frankfurt,55,Hannover 96,4,0,win_home,4,2008_Eintracht Frankfurt_Hannover 96,11.0,14.0,13.0,-1.0
2008,Bochum,14,129,VfL Bochum,54,Hertha BSC,2,3,win_away,5,2008_VfL Bochum_Hertha BSC,18.0,11.0,13.0,11.0
2008,Bochum,14,129,VfL Bochum,54,Hertha BSC,2,3,win_away,5,2008_VfL Bochum_Hertha BSC,18.0,10.0,12.0,13.0
2008,Bielefeld,14,83,Arminia Bielefeld,6,Bayer Leverkusen,2,1,win_home,3,2008_Arminia Bielefeld_Bayer Leverkusen,10.0,10.0,12.0,-9.0
2008,Bielefeld,14,83,Arminia Bielefeld,6,Bayer Leverkusen,2,1,win_home,3,2008_Arminia Bielefeld_Bayer Leverkusen,9.0,10.0,11.0,-6.0
2008,Köln,14,65,1. FC Köln,175,TSG 1899 Hoffenheim,1,3,win_away,4,2008_1. FC Köln_TSG 1899 Hoffenheim,2.0,0.0,0.0,4.0
2008,Hamburg,14,100,Hamburger SV,134,Werder Bremen,2,1,win_home,3,2008_Hamburger SV_Werder Bremen,27.0,32.0,29.0,4.0
2008,Hamburg,14,100,Hamburger SV,134,Werder Bremen,2,1,win_home,3,2008_Hamburger SV_Werder Bremen,27.0,32.0,27.0,6.0
