matchday_nr,home_team_name,away_team_name,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif,season,home_team_id,away_team_id
27,Eintracht Frankfurt,1. FC Union Berlin,7,4,3,12.0,2024,91.0,80.0
27,VfL Bochum,SV Darmstadt 98,5,4,5,-4.0,2024,129.0,118.0
27,Bayer Leverkusen,TSG 1899 Hoffenheim,17,6,7,20.0,2024,6.0,175.0
27,FC Augsburg,1. FC Köln,7,7,8,-7.0,2024,95.0,65.0
27,RB Leipzig,1. FSV Mainz 05,7,3,4,16.0,2024,1635.0,81.0
28,1. FC Köln,VfL Bochum,38,17,15,45.0,2024,65.0,129.0
28,Borussia Dortmund,VfB Stuttgart,41,25,40,10.0,2024,7.0,16.0
28,Eintracht Frankfurt,Werder Bremen,38,23,43,-7.0,2024,91.0,134.0
28,SC Freiburg,RB Leipzig,4,4,8,-14.0,2024,112.0,1635.0
28,VfL Wolfsburg,Borussia Mönchengladbach,22,10,14,13.0,2024,131.0,87.0
28,1. FSV Mainz 05,SV Darmstadt 98,10,2,6,1.0,2024,81.0,118.0
28,1. FC Union Berlin,Bayer Leverkusen,1,4,3,-7.0,2024,80.0,6.0
28,TSG 1899 Hoffenheim,FC Augsburg,15,5,6,22.0,2024,175.0,95.0
29,FC Bayern München,1. FC Köln,51,24,23,77.0,2024,40.0,65.0
29,VfB Stuttgart,Eintracht Frankfurt,42,23,35,10.0,2024,16.0,91.0
29,Borussia Mönchengladbach,Borussia Dortmund,32,28,42,-23.0,2024,87.0,7.0
29,Bayer Leverkusen,Werder Bremen,23,34,27,7.0,2024,6.0,134.0
29,1. FSV Mainz 05,TSG 1899 Hoffenheim,13,8,9,5.0,2024,81.0,175.0
29,SV Darmstadt 98,SC Freiburg,9,8,11,-4.0,2024,118.0,112.0
29,FC Augsburg,1. FC Union Berlin,5,6,1,5.0,2024,95.0,80.0
29,RB Leipzig,VfL Wolfsburg,6,5,3,10.0,2024,1635.0,131.0
30,Werder Bremen,VfB Stuttgart,36,34,38,16.0,2024,134.0,16.0
30,1. FC Köln,SV Darmstadt 98,7,2,1,16.0,2024,65.0,118.0
30,Borussia Dortmund,Bayer Leverkusen,38,22,30,22.0,2024,7.0,6.0
30,Eintracht Frankfurt,FC Augsburg,7,8,7,5.0,2024,91.0,95.0
30,SC Freiburg,1. FSV Mainz 05,14,14,16,-14.0,2024,112.0,81.0
30,VfL Wolfsburg,VfL Bochum,12,4,12,5.0,2024,131.0,129.0
30,1. FC Union Berlin,FC Bayern München,0,3,5,-13.0,2024,80.0,40.0
30,TSG 1899 Hoffenheim,Borussia Mönchengladbach,10,12,10,-11.0,2024,175.0,87.0
31,FC Bayern München,Eintracht Frankfurt,57,23,24,85.0,2024,40.0,91.0
31,Borussia Mönchengladbach,1. FC Union Berlin,1,2,5,-3.0,2024,87.0,80.0
31,VfL Bochum,TSG 1899 Hoffenheim,5,0,3,4.0,2024,129.0,175.0
31,Bayer Leverkusen,VfB Stuttgart,40,21,23,42.0,2024,6.0,16.0
31,SC Freiburg,VfL Wolfsburg,15,11,14,-12.0,2024,112.0,131.0
31,1. FSV Mainz 05,1. FC Köln,12,10,10,12.0,2024,81.0,65.0
31,FC Augsburg,Werder Bremen,12,2,8,5.0,2024,95.0,134.0
31,RB Leipzig,Borussia Dortmund,5,2,7,-2.0,2024,1635.0,7.0
32,Werder Bremen,Borussia Mönchengladbach,39,26,41,-17.0,2024,134.0,87.0
32,VfB Stuttgart,FC Bayern München,18,22,68,-106.0,2024,16.0,40.0
32,1. FC Köln,SC Freiburg,14,7,19,-10.0,2024,65.0,112.0
32,Borussia Dortmund,FC Augsburg,15,6,3,30.0,2024,7.0,95.0
32,Eintracht Frankfurt,Bayer Leverkusen,28,13,35,-25.0,2024,91.0,6.0
32,VfL Wolfsburg,SV Darmstadt 98,3,1,2,-1.0,2024,131.0,118.0
32,1. FC Union Berlin,VfL Bochum,12,4,8,6.0,2024,80.0,129.0
32,TSG 1899 Hoffenheim,RB Leipzig,3,3,8,-4.0,2024,175.0,1635.0
33,FC Bayern München,VfL Wolfsburg,41,7,4,88.0,2024,40.0,131.0
33,Borussia Mönchengladbach,Eintracht Frankfurt,33,29,36,-1.0,2024,87.0,91.0
33,1. FC Köln,1. FC Union Berlin,5,3,8,7.0,2024,65.0,80.0
33,VfL Bochum,Bayer Leverkusen,17,13,26,-18.0,2024,129.0,6.0
33,1. FSV Mainz 05,Borussia Dortmund,5,9,20,-28.0,2024,81.0,7.0
33,SV Darmstadt 98,TSG 1899 Hoffenheim,1,2,1,0.0,2024,118.0,175.0
33,FC Augsburg,VfB Stuttgart,11,2,11,8.0,2024,95.0,16.0
33,RB Leipzig,Werder Bremen,9,1,2,14.0,2024,1635.0,134.0
34,Werder Bremen,VfL Bochum,43,15,10,72.0,2024,134.0,129.0
34,VfB Stuttgart,Borussia Mönchengladbach,42,30,30,30.0,2024,16.0,87.0
34,Borussia Dortmund,SV Darmstadt 98,4,2,2,12.0,2024,7.0,118.0
34,Eintracht Frankfurt,RB Leipzig,3,7,4,1.0,2024,91.0,1635.0
34,Bayer Leverkusen,FC Augsburg,15,7,2,31.0,2024,6.0,95.0
34,VfL Wolfsburg,1. FSV Mainz 05,19,15,10,20.0,2024,131.0,81.0
34,1. FC Union Berlin,SC Freiburg,5,3,4,-3.0,2024,80.0,112.0
34,TSG 1899 Hoffenheim,FC Bayern München,4,7,19,-42.0,2024,175.0,40.0
